arquivo;nome;genero;selo_anterior;selo_revisado;justificativa;rega_ficha
acianthera-aveniformis.js;Acianthera aveniformis;Acianthera;frequente;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Mantenha hidratação frequente sem saturação permanente. Em montagem, pode exigir regas muito frequentes no calor porque a pequena massa radicular seca rapidamente; em vaso, permita leve perda de umidade superficial antes da nova irrigação. O objetivo é um ciclo de molhar bem, renovar o ar e voltar a regar antes de ocorrer desidratação prolongada."
acianthera-bragae.js;Acianthera bragae;Acianthera;frequente;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Regue com frequência suficiente para manter as raízes ativas e impedir desidratação prolongada, mas permita troca de ar entre irrigações. Em montagem, a frequência tende a ser alta no calor; em vaso raso, deixe apenas a superfície perder parte da umidade. Água estagnada entre folhas e junto ao rizoma é mais perigosa que uma breve secagem superficial."
acianthera-glumacea.js;Acianthera glumacea;Acianthera;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Mantenha hidratação regular e elevada umidade atmosférica, permitindo apenas leve secagem superficial. Em touceiras densas, regue preferencialmente pela manhã e assegure circulação suficiente para a água evaporar das junções entre ramicaules. No inverno frio e nublado, reduza a frequência de acordo com a secagem real, não por calendário.
acianthera-pubescens.js;Acianthera pubescens;Acianthera;constante;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";"Regue regularmente, mantendo as raízes hidratadas sem saturação contínua. Plantas montadas podem exigir rega diária ou quase diária no verão litorâneo; vasos devem perder parte da umidade superficial antes da próxima irrigação. Ajuste a frequência à procedência: clones de ambientes montanos geralmente apreciam umidade constante com temperaturas mais amenas e excelente ventilação."
aerides-odorata.js;Aerides odorata;Aerides;constante;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Durante períodos quentes e de crescimento ativo, regue abundantemente e com frequência, molhando completamente as raízes e permitindo secagem rápida em seguida. Plantas em cestos podem precisar de regas muito frequentes no verão. No período mais fresco, reduza conforme a evaporação diminuir, mas não imponha repouso seco.
anathallis-sclerophylla.js;Anathallis sclerophylla;Anathallis;frequente;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Mantenha umidade frequente durante todo o crescimento, evitando que as raízes permaneçam completamente secas por períodos prolongados. Molhe bem e permita drenagem e renovação de ar após cada irrigação. Em montagens, a frequência pode ser alta no calor; em vaso, ajuste sempre pela velocidade real de secagem."
arpophyllum-giganteum.js;Arpophyllum giganteum;Arpophyllum;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Durante brotação, enraizamento e formação dos pseudobulbos, forneça água abundante e permita apenas secagem parcial do substrato entre irrigações. Depois da maturação, reduza moderadamente a frequência conforme a temperatura e a evaporação caírem, mas não imponha repouso seco severo. A recomendação clássica de cultivo inclui tanto luz ampla quanto água generosa.
aspasia-lunata.js;Aspasia lunata;Aspasia;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Durante a formação de novos brotos e raízes, regue regularmente e permita secagem parcial do substrato entre as irrigações. Após a maturação dos pseudobulbos, aumente ligeiramente o intervalo entre regas, sobretudo em períodos mais frios, sem permitir enrugamento severo.
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js;Brassocattleya Turandot × (Rhyncholaeliocattleya Orange Show × Rlc. Chunyeah);Brassocattleya / Rhyncholaeliocattleya;moderada;frequente;A ficha explicitamente pede rega frequente ou substrato regularmente úmido.;"Regue abundantemente nas primeiras horas da manhã, permitindo que o substrato seque quase completamente antes da próxima irrigação. Intensifique a frequência durante o surgimento de novos brotos e raízes; reduza após a maturação dos pseudobulbos, nos dias frios ou durante períodos chuvosos. Atenção: evite acúmulo de água no miolo dos brotos e nas bainhas ao final da tarde ou à noite para prevenir podridões e abortamento de botões."
bifrenaria-aureofulva.js;Bifrenaria aureofulva;Bifrenaria;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Regue bem durante a brotação e formação dos pseudobulbos, permitindo que o substrato perca parte da umidade entre as irrigações. Após a maturação, reduza moderadamente a frequência, sobretudo no inverno. Não mantenha a planta totalmente seca por períodos prolongados e não permita enrugamento acentuado dos pseudobulbos.
bifrenaria-harrisoniae.js;Bifrenaria harrisoniae;Bifrenaria;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Regue abundantemente durante a brotação e desenvolvimento dos pseudobulbos, permitindo secagem parcial do substrato entre irrigações. Após a maturação, aumente gradualmente o intervalo entre as regas, sem manter a planta completamente seca por longos períodos nem permitir enrugamento severo.
bifrenaria-verboonenii.js;Bifrenaria verboonenii;Bifrenaria;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Durante crescimento ativo, regue bem e permita que o substrato drene e se aproxime da secagem antes da próxima irrigação. No outono e inverno, reduza significativamente a frequência conforme a atividade cair, mas não provoque desidratação severa dos pseudobulbos.
blc-chia-lin.js;Rhyncholaeliocattleya Chia Lin;Rhyncholaeliocattleya;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Durante brotação e enraizamento, molhe completamente e espere o substrato perder boa parte da umidade antes da próxima irrigação. Após a maturação, aumente discretamente o intervalo entre as regas, sem impor repouso seco. Em Litoral de clima quente, ajuste a frequência conforme temperatura, ventilação e velocidade de secagem do recipiente.
brassavola-perrini.js;Brassavola tuberculata;Brassavola;constante;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";"Regue abundantemente, mas garanta que o sistema radicular seque completamente antes da próxima irrigação. Exemplares montados em troncos ou cascas podem receber água diariamente nos dias quentes de verão; em dias frios ou chuvosos, espace bastante as regas. Esta espécie tolera a seca curta muito melhor do que a umidade constante."
brassia-lawrenceana.js;Brassia lawrenceana;Brassia;frequente;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Regue com frequência enquanto novos brotos e raízes estão ativos, deixando o substrato drenar rapidamente. Entre as irrigações, permita leve redução de umidade, sem manter o vaso permanentemente molhado. Quando os pseudobulbos estiverem maduros e a evaporação cair, aumente moderadamente o intervalo entre regas.
bulbophyllum-ambrosia.js;Bulbophyllum ambrosia;Bulbophyllum;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";"Durante o crescimento, molhe completamente e deixe o excesso drenar de imediato. Mantenha leve umidade residual, sem deixar o conjunto permanecer seco por vários dias. No inverno ou quando o crescimento desacelerar, aumente apenas moderadamente o intervalo entre regas; não imponha repouso seco. Em montagem, a frequência pode ser maior porque o sistema seca rapidamente."
bulbophyllum-elassonotum.js;Bulbophyllum elassonotum;Bulbophyllum;constante;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Mantenha umidade regular enquanto houver crescimento, molhando bem e drenando rapidamente. Entre regas, permita perda parcial de umidade, sem secagem total prolongada. No período mais fresco, ajuste a frequência à evaporação real. Populações de habitat sazonal toleram alguma redução hídrica, mas isso não equivale a repouso seco obrigatório.
bulbophyllum-falcatum.js;Bulbophyllum falcatum;Bulbophyllum;constante;muito-frequente;"Bulbophyllum é tratado como grupo de alta demanda hídrica; manter raízes/meio úmidos com excelente aeração.";Mantenha umidade regular durante o crescimento. Molhe completamente, deixe drenar e volte a regar quando o meio estiver apenas parcialmente seco. Plantas montadas podem precisar de irrigação diária em períodos quentes e secos. No inverno, reduza a frequência conforme a secagem real, sem deixar os pseudobulbos enrugarem por desidratação prolongada.
